SID,delta,theta,alpha,beta,alpha_peak,1/f_slope,spindles,slow_oscillations,CAP_index
s02,0.011238554972525574,0.7282741781357055,0.14867645423772338,0.11181081265404548,7.75,-15.683622172523771,,,
s02,0.0145217938974786,0.7740454953050573,0.11717167527297066,0.09426103552449323,7.25,-16.464086576300755,,,
s02,0.011906562184380517,0.72331458628319,0.1376324052738417,0.1271464462585878,7.25,-16.357236783676615,,,
s02,0.017282521242177284,0.738620379943597,0.1415984911445337,0.10249860766969204,,-13.465821770496868,,,
s02,0.011383712599938652,0.775507186974481,0.12493143126968524,0.08817766915589514,,-15.630671110534461,,,
s02,0.012834525919693444,0.774068218991362,0.12812733934546247,0.08496991574348209,,-11.164696369686117,,,
s02,0.011302088854348108,0.6998366171771024,0.1501220780232816,0.13873921594526784,,-17.324238795962152,,,
s02,0.007932170825745733,0.773239789080025,0.12412577730308175,0.0947022627911476,7.5,-17.115855245759885,,,
s02,0.011179017693323426,0.6891629223338447,0.1567697148937444,0.14288834507908757,7.25,-17.83068262380606,,,
s02,0.012050960048131566,0.749546987309525,0.13804697474784913,0.10035507789449433,,-16.028008805463944,,,
s02,0.012655665571802569,0.7949803118530994,0.12497931101175867,0.06738471156333943,,-15.565689858362644,,,
s02,0.008716778800065796,0.7786150620327028,0.11885652970414921,0.09381162946308229,,-16.585330626993773,,,
s02,0.007835508630922016,0.732256038244276,0.16120363877497385,0.09870481434982808,,-16.639608005644924,,,
s02,0.01619811217079036,0.6784522115532032,0.16722538554479985,0.1381242907312067,,-16.54749551713112,,,
s02,0.01627802357958473,0.7296126348083932,0.14270710453460572,0.11140223707741631,7.25,-17.371680120518814,,,
s02,0.009461781928870866,0.8141801816358613,0.0972702034265842,0.07908783300868369,,-15.238478655740007,,,
s02,0.013909813849084837,0.8425244910112232,0.09495164321174196,0.048614051927950014,7.25,-15.9823392001739,,,
s02,0.01407006365070328,0.8552713421379974,0.0895300051006185,0.04112858911068082,,-14.561786388696746,,,
s02,0.012375416172944093,0.7895801534437982,0.12099330116356051,0.07705112921969716,,-17.3498744810834,,,
s02,0.012823032906692284,0.7121450836820534,0.16062814781717966,0.11440373559407446,,-17.908880166739053,,,
s02,0.006884813588373518,0.7601917624282324,0.13315500710441527,0.09976841687897878,,-15.897192219413148,,,
s02,0.010594205728034009,0.8174357573916258,0.11671264393183538,0.055257392948504756,,-15.873685464677258,,,
s02,0.00922740413309567,0.5688783702144067,0.2380950119123202,0.18379921374017744,,-18.254722465934133,,,
s02,0.01649629938002005,0.7757150648979432,0.12370604305877848,0.08408259266325849,,-17.070651071887827,,,
s02,0.012632082779518322,0.8074946850897455,0.12020974490520499,0.05966348722553134,,-15.591723504676873,,,
s02,0.014713022137668808,0.8354164921027825,0.1061946237148432,0.04367586204470543,,-15.249115222795051,,,
s02,0.010299928271561492,0.8221705478595586,0.10922773745586718,0.05830178641301261,,-15.505669365835479,,,
s02,0.01346657217165056,0.8179264112017391,0.09018964137631957,0.07841737525029073,,-15.082100318510884,,,
s02,0.01720454448355886,0.7490436121249001,0.13170307200521766,0.10204877138632341,,-16.646190003511627,,,
s02,0.015865723024702173,0.8268678573847417,0.08730752344792253,0.06995889614263366,,-16.14760175791366,,,
s02,0.014308949202502726,0.8142109805885988,0.1048695693292222,0.06661050087967635,,-16.243935533823997,,,
s02,0.009325576915276707,0.8040823741627174,0.11121764880003046,0.07537440012197545,,-17.381871357073166,,,
s02,0.00996801568530071,0.8299658318686409,0.1049127310092508,0.05515342143680753,,-15.174204302620995,,,
s02,0.008830267069325227,0.6867338690370773,0.1644677709275141,0.13996809296608334,,-18.099051234137526,,,
s02,0.0161281258492265,0.8173953541243015,0.1068821838708694,0.059594336155602515,7.25,-15.426306206816982,,,
s02,0.011412252759038038,0.6663532573785955,0.16115041924679066,0.16108407061557567,7.25,-13.340029008355291,,,
s02,0.02051955187079505,0.8327952923757533,0.0845587592590358,0.062126396494416036,,-16.758507819970706,,,
s02,0.011678735144848613,0.8175771029681265,0.10687959927306437,0.06386456261396058,,-17.321711792727484,,,
s02,0.005123459109906391,0.7754982582481532,0.13884570007068722,0.08053258257125316,,-15.481282494156945,,,
s02,0.00859926333172942,0.6732829684812525,0.16946971154308804,0.1486480566439301,,-17.152562375159686,,,
