SID,delta,theta,alpha,beta,alpha_peak,1/f_slope,spindles,slow_oscillations,CAP_index
s19,0.013494622158790772,0.893264863832933,0.061065367332381375,0.032175146675894856,,-14.049090574463053,,,
s19,0.020711516467415883,0.898820353066221,0.05518663117636533,0.025281499289997598,,-13.897004681847712,,,
s19,0.016225237312748168,0.9142489293076803,0.04179624367045321,0.02772958970911813,,-13.19191182709428,,,
s19,0.018606400168524648,0.8857936565436022,0.06292427036156442,0.0326756729263088,,-14.819997986020347,,,
s19,0.014888700311036982,0.8810957748960379,0.06618546556488304,0.03783005922804222,,-13.325816944031546,,,
s19,0.015615317269353895,0.8760343512341533,0.0710789310303398,0.03727140046615298,,-12.783400214463363,,,
s19,0.013977763292224887,0.8816877497455441,0.06865571372586758,0.03567877323636356,,-14.483292702524526,,,
s19,0.016605703758610292,0.8648931004581227,0.07740915032817257,0.04109204545509453,,-11.598814467501345,,,
s19,0.020321562850131956,0.8779998721047424,0.05884223971007812,0.0428363253350475,,-14.085441777760487,,,
s19,0.020902486225081264,0.8991775849749178,0.053081466457564556,0.026838462342436222,,-14.143632024550657,,,
s19,0.02182175845850482,0.8967750601576775,0.04768756286597785,0.0337156185178398,,-11.766776934653763,,,
s19,0.016102877599425913,0.8917461724241321,0.05775610880821388,0.03439484116822818,,-14.78737637690016,,,
s19,0.014989985714178942,0.8866175717239914,0.06408333410192411,0.034309108459905674,,-13.277796905502202,,,
s19,0.017851406664906866,0.9074156996464998,0.04647656639757123,0.02825632729102207,,-12.029874151834822,,,
s19,0.01142061507878314,0.89947089558251,0.05768533552328311,0.03142315381542369,,-13.358029887601655,,,
s19,0.01967000692025595,0.9020583046235898,0.041391377322898965,0.03688031113325523,,-14.724266466743963,,,
s19,0.017987319040821705,0.9012328206934507,0.048544560741513906,0.03223529952421379,,-14.02203400004962,,,
s19,0.02460086419400549,0.8566902146084882,0.06965903776424623,0.049049883433260104,,-13.55360152560281,,,
s19,0.01828540646723142,0.858172761001654,0.07752138555131927,0.0460204469797954,,-14.955863255981022,,,
s19,0.01676126686828149,0.8969995622507313,0.058175869684563584,0.028063301196423647,,-13.01782525064557,,,
s19,0.020571991787383996,0.8645698035657949,0.07212035336293142,0.042737851283889704,8.0,-6.955327958041061,,,
s19,0.024873609544081108,0.8836195946249706,0.05811375192131661,0.03339304390963164,,-12.564297300224355,,,
s19,0.02118977216149253,0.8972064613398836,0.05366024103904403,0.02794352545958006,,-12.121662157906876,,,
s19,0.020531802408743714,0.8733255189457827,0.06723391084992891,0.03890876779554461,,-14.888555056021419,,,
s19,0.022700957536888843,0.9118851589487128,0.0429100349146431,0.0225038485997552,,-13.542980438621374,,,
s19,0.028801517423431212,0.8868437526079628,0.04875247690290173,0.03560225306570418,,-14.22017355178422,,,
s19,0.011884617085729273,0.8901394685370712,0.06336579338887627,0.034610120988323285,,-14.263332758892782,,,
s19,0.016409830310422945,0.9018591308686571,0.059556204734108234,0.02217483408681181,,-13.522950344831358,,,
s19,0.01808349225515472,0.8945013542629531,0.05791086463850781,0.02950428884338434,,-12.945289108026243,,,
s19,0.01636277346706641,0.8425851989046544,0.06029634567731172,0.08075568195096733,,-15.77389057526516,,,
s19,0.030459647939274068,0.882482533683774,0.05702326556054274,0.030034552816409155,,-14.455187865388131,,,
s19,0.020832898541106353,0.900832050348364,0.05400638314550704,0.02432866796502267,,-12.994408709712031,,,
s19,0.01358457182997635,0.8948505010011906,0.05720255670398226,0.0343623704648508,,-12.315642555318638,,,
s19,0.012429530279728731,0.8942807439631746,0.05510641117000422,0.03818331458709264,,-15.138226305367551,,,
s19,0.016903069133655624,0.8728769112799305,0.06762705028033476,0.042592969306079226,,-14.132669075452432,,,
s19,0.02540060292490223,0.8986038521246742,0.047290390825042744,0.028705154125380664,,-12.392460687814555,,,
s19,0.01968161902278103,0.8875224371203797,0.05204396542529126,0.040751978431548035,,-14.789266854461193,,,
s19,0.013447870949785144,0.8927306261438301,0.05860586778271328,0.03521563512367139,,-15.020184858396568,,,
s19,0.018342996554307246,0.8742521579915902,0.07024275654954742,0.03716208890455519,,-14.548237759290053,,,
s19,0.015651651707484535,0.879475902920557,0.06749523685695949,0.03737720851499893,,-14.556836595043109,,,
