SID,delta,theta,alpha,beta,alpha_peak,1/f_slope,spindles,slow_oscillations,CAP_index
s26,0.0036690823595378523,0.3337641065141815,0.37346514902788974,0.2891016620983909,10.25,-19.80711751787885,,,
s26,0.0022043106387653524,0.329873414006611,0.39801796077254836,0.26990431458207526,9.25,-21.975133141656297,,,
s26,0.0016638750868886967,0.32033108502623775,0.4458848006104713,0.2321202392764023,9.75,-20.537946653148364,,,
s26,0.00268507711026527,0.35514844116172173,0.4098905948180859,0.23227588690992707,10.0,-21.569224322637268,,,
s26,0.004700326608506215,0.4492974391439074,0.3115785908483226,0.2344236433992638,10.0,-18.69326437802609,,,
s26,0.009803088185300325,0.5650763824817202,0.2522978781153682,0.17282265121761126,9.75,-18.077723814872915,,,
s26,0.006019172418620855,0.390285819213434,0.3684798369558097,0.23521517141213544,10.5,-19.880469894382397,,,
s26,0.007958820808502947,0.5304529759108043,0.2094338453145016,0.2521543579661911,9.25,-20.3744384721918,,,
s26,0.0035081777672238074,0.44624017154023277,0.32827358684208324,0.22197806385046018,10.25,-17.551337182569704,,,
s26,0.003779132571756566,0.3534816436921245,0.39381134663704365,0.24892787709907535,10.25,-21.248012872682974,,,
s26,0.01031309232520264,0.5079911072291173,0.27302423950568216,0.20867156093999775,,-17.87854970665621,,,
s26,0.006186849652610335,0.42213587645513545,0.33038452304470123,0.24129275084755297,10.25,-20.24357991911785,,,
s26,0.004618090947050373,0.41108891259876534,0.3615867067683361,0.2227062896858481,10.0,-19.61531429789345,,,
s26,0.0013402441569928297,0.31939739783359483,0.4213898506263907,0.25787250738302153,10.0,-21.06484000666498,,,
s26,0.005066594190523786,0.3826288685105361,0.3938203373716113,0.2184841999273287,10.0,-19.207564131164535,,,
s26,0.0023857537352892414,0.31978082007082553,0.4166286800907021,0.2612047461031831,9.75,-19.772547168547785,,,
s26,0.0032902900386445094,0.443494126158034,0.3173031070493639,0.23591247675395757,9.5,-20.08868676303386,,,
s26,0.003296108876243045,0.2839923202922855,0.5146351951066352,0.1980763757248361,9.75,-19.88951081949189,,,
s26,0.00356452310042498,0.3347500707629419,0.3986577040082276,0.26302770212840554,10.0,-21.194692587337407,,,
s26,0.0028930507923926475,0.36309183617972524,0.3884505350372012,0.245564577990681,9.75,-19.34551539435605,,,
s26,0.0025036968449553684,0.34198597659500124,0.41374067191871516,0.24176965464132824,9.75,-20.365316935597402,,,
s26,0.005444760147232575,0.488659143930642,0.31398143429137265,0.19191466163075277,10.0,-19.207795292979853,,,
s26,0.008093671210211584,0.37902867964218395,0.3517413281903905,0.26113632095721395,10.0,-20.47146582098706,,,
s26,0.002465297062325453,0.3497606817959393,0.41531988526848906,0.23245413587324615,10.0,-19.662292777057182,,,
s26,0.0014959321011318119,0.2682473497905759,0.4992396425480677,0.23101707556022466,9.25,-21.08244400710686,,,
s26,0.0019348703380678584,0.2566759273146416,0.5231513676673536,0.21823783467993702,9.5,-20.372393668418635,,,
s26,0.005936938518923559,0.44249189832310276,0.3286578886826408,0.22291327447533296,10.0,-19.06240653520061,,,
s26,0.010376060321321082,0.5213289285742477,0.2451206837353847,0.22317432736904652,10.25,-18.808320729576675,,,
s26,0.0055069771323666885,0.40048125377441685,0.3670892381131831,0.22692253098003343,9.5,-21.070743947697185,,,
s26,0.0027912082748501677,0.31089575320689866,0.4067409616601899,0.27957207685806135,9.75,-19.78782117884796,,,
s26,0.0024440459709935782,0.3260731831874531,0.40539785076422447,0.26608492007732887,10.25,-21.7661599522441,,,
s26,0.004724606194149443,0.403106230054924,0.36305494499335506,0.22911421875757146,9.75,-18.45621719673933,,,
s26,0.006354258098887055,0.43737133743549644,0.3178214278649334,0.23845297660068307,10.25,-20.042411545408157,,,
s26,0.005345694874475776,0.32696578956035743,0.40836372026687695,0.25932479529828983,9.5,-20.40049694327323,,,
s26,0.0028345646128325463,0.29321427193665656,0.442917313504043,0.261033849946468,9.75,-21.14915118685556,,,
s26,0.003434737988079297,0.3041271823768886,0.40021594486985684,0.2922221347651753,10.25,-19.743909770067503,,,
s26,0.0022299849089127926,0.3778189188851012,0.3891124114327973,0.2308386847731887,9.75,-19.910412436898408,,,
s26,0.0025890642339296433,0.35078055640809636,0.37685741039114873,0.26977296896682523,10.0,-21.12397230585681,,,
s26,0.002754178990256185,0.3120473687037085,0.41429020742874545,0.27090824487728976,9.75,-19.53674996082651,,,
s26,0.002919744540154738,0.30535299048353215,0.4145484940987362,0.277178770877577,10.25,-20.005589889486924,,,
