SID,delta,theta,alpha,beta,alpha_peak,1/f_slope,spindles,slow_oscillations,CAP_index
s01,0.0014630902899265897,0.3089788079258913,0.1737061318814464,0.5158519699027357,,-21.780684830719125,,,
s01,0.0014103435305609787,0.3369574446117267,0.1893330440443589,0.47229916781335335,,-21.731638866822532,,,
s01,0.0013949211868228444,0.29772105054290826,0.1935638240616605,0.5073202042086085,9.75,-20.027504599980116,,,
s01,0.003913112961427703,0.5538615349150029,0.15186088366892572,0.2903644684546437,,-18.71612190687939,,,
s01,0.0017322132590808254,0.31487853513138314,0.1710921577976509,0.512297093811885,9.25,-21.22964532615088,,,
s01,0.0012661995772424272,0.3249927357287749,0.20040910666108974,0.47333195803289285,10.25,-21.524269072467014,,,
s01,0.0029576090266100283,0.28781895218432196,0.21558794441338777,0.49363549437568016,9.75,-19.12178854963183,,,
s01,0.001716004791987612,0.29339250206439627,0.2578600424900841,0.44703145065353195,9.75,-20.310519894964276,,,
s01,0.0009084659137590222,0.34987238807928317,0.19556201036360787,0.4536571356433499,7.25,-21.765342068944175,,,
s01,0.0016133314780386679,0.27334483013747096,0.21886699978511934,0.5061748385993712,10.25,-21.359075928109444,,,
s01,0.0015696553763192914,0.2854177503693236,0.2067700570099041,0.506242537244453,9.5,-20.484337389801663,,,
s01,0.001123741731394184,0.3264056375117081,0.2134941100270089,0.4589765107298889,10.0,-20.73856822420773,,,
s01,0.0023759350203874444,0.31339488427090434,0.21295149410215608,0.4712776866065522,10.5,-22.875723411780644,,,
s01,0.0009522329115534128,0.3935837294709065,0.19977277036218866,0.4056912672553515,9.5,-19.360496622654352,,,
s01,0.0012668301822592466,0.3130864562757544,0.21130467129585975,0.47434204224612664,10.0,-20.981125346021596,,,
s01,0.0017133716025194308,0.27495642101676965,0.1911844557639285,0.5321457516167823,,-20.41789297193167,,,
s01,0.0013198719394177695,0.2955061056007418,0.2165761461085676,0.4865978763512728,10.5,-21.210313337760454,,,
s01,0.0020990449097578892,0.32468867384252853,0.1780182271898048,0.49519405405790873,,-19.254855728666843,,,
s01,0.0020075015181837763,0.29857168649761145,0.17447124744048903,0.5249495645437159,10.5,-21.165313905911688,,,
s01,0.0022305733878034218,0.30943885890208983,0.19440003474573125,0.4939305329643754,10.25,-20.38644155840225,,,
s01,0.0017281203540282402,0.28856064826059147,0.20433747332725002,0.5053737580581302,10.25,-21.32122212858166,,,
s01,0.0021704568199872043,0.29497335331034064,0.210486176818958,0.4923700130507141,9.5,-21.933350344282918,,,
s01,0.0011901322600998767,0.29776931611093316,0.2310694244128633,0.4699711272161036,9.5,-21.880409776986824,,,
s01,0.002438034385731336,0.5078401266119819,0.22092607170905212,0.2687957672932347,8.75,-18.274127736214872,,,
s01,0.0016915775821997794,0.28453863092380643,0.19867323771012152,0.5150965537838723,11.25,-21.95597759026384,,,
s01,0.0034435682585918616,0.37588664821991064,0.18447850055635903,0.43619128296513854,,-20.14426652722856,,,
s01,0.0013347535645590984,0.2906448583778965,0.22871910960013264,0.4793012784574119,9.5,-22.54243466219687,,,
s01,0.0016365527607843486,0.32712644647802736,0.21187132828083874,0.45936567248034965,10.5,-20.78299532595416,,,
s01,0.0008146982997134362,0.30638068579515704,0.1876794895733715,0.5051251263317581,9.5,-21.23221512054511,,,
s01,0.0014637357136881679,0.27724871636090004,0.19258801238731707,0.5286995355380946,,-22.58085414295171,,,
s01,0.0006968380142166674,0.2908947999286128,0.176632377422218,0.5317759846349526,11.75,-20.191661627451857,,,
s01,0.0014819109241137544,0.32698362569288536,0.19551185378257516,0.47602260960042575,,-20.03176486950255,,,
s01,0.002027224600787744,0.32638759531419287,0.1806541370637272,0.4909310430212923,9.25,-21.87576871515967,,,
s01,0.0021619702938468666,0.3286100578235001,0.2003317658727822,0.46889620600987075,12.0,-22.76329895695294,,,
s01,0.002082261031842548,0.2853294833554935,0.17425817911338898,0.538330076499275,12.0,-22.132555159009346,,,
s01,0.0013375748174549046,0.28477808502328167,0.2451587576415551,0.4687255825177083,10.25,-20.908549966522646,,,
s01,0.002427678568052962,0.30585874036830374,0.2290701548642642,0.46264342619937904,10.0,-22.031412714155632,,,
s01,0.0014044933351745634,0.3084054528437153,0.21362660944216894,0.47656344437894127,10.25,-20.97170270149909,,,
s01,0.0014900504462238115,0.33700135582835006,0.1737171484482037,0.4877914452772224,,-20.558411309790642,,,
s01,0.0016065293001214914,0.31030071614777766,0.17742949190392046,0.5106632626481804,,-21.410651685919767,,,
