SID,delta,theta,alpha,beta,alpha_peak,1/f_slope,spindles,slow_oscillations,CAP_index
s10,0.005772842810781376,0.5524215052847974,0.18582164587290123,0.2559840060315199,,-17.703290034918634,,,
s10,0.0071426010695774585,0.618030724448628,0.18938260525006018,0.18544406923173426,7.5,-15.025267422182957,,,
s10,0.0058060242643977675,0.6956437603474438,0.17015247396990874,0.12839774141824947,,-17.05649784090021,,,
s10,0.01007737073533599,0.5928837923228735,0.1873602925364635,0.20967854440532702,7.5,-17.559611888959665,,,
s10,0.007351884098018883,0.6187221393971452,0.18780954080191653,0.18611643570291958,9.25,-16.18233833127237,,,
s10,0.004931475985451927,0.580186658419843,0.20024727906210216,0.21463458653260284,7.25,-16.81531914860769,,,
s10,0.004169406830426761,0.3941289611040477,0.15389698914265018,0.44780464292287536,7.75,-17.551455789026058,,,
s10,0.004719968825983143,0.6340281654757927,0.19154403038575427,0.16970783531246994,,-15.709954006230392,,,
s10,0.0038133241879192976,0.5964734866619553,0.2106266311708621,0.18908655797926324,7.75,-18.675444758443042,,,
s10,0.008485450345746551,0.6596033721479962,0.1689776057204387,0.16293357178581852,,-16.2771934015967,,,
s10,0.0045010722969257705,0.5736869854581595,0.21083995742161174,0.21097198482330287,,-18.952162676987058,,,
s10,0.003887945894684585,0.5761819645169884,0.23823398448017136,0.18169610510815565,8.0,-17.06345952808141,,,
s10,0.004050854412361806,0.6457796128541116,0.21113426433729074,0.13903526839623578,9.5,-16.00235699658036,,,
s10,0.008581717864727608,0.6316449616607006,0.2199103541539461,0.13986296632062553,8.75,-15.663914060125817,,,
s10,0.01055851346830967,0.6670286122607088,0.19000506754375862,0.13240780672722294,,-17.057583101302345,,,
s10,0.008274318625460627,0.7111880328421706,0.13355491108410278,0.14698273744826593,,-15.9529110588355,,,
s10,0.005937060891842533,0.7262418282118271,0.15972069057592087,0.10810042032040944,,-16.8443836623414,,,
s10,0.005290333575992855,0.6118959035741051,0.18726501079712704,0.19554875205277492,,-17.09509944679767,,,
s10,0.007331248447931136,0.5869975270355486,0.24312291698362143,0.16254830753289892,9.0,-16.760157843827002,,,
s10,0.007124026259862625,0.6279310172159565,0.16985354445201473,0.19509141207216615,,-16.530064094635634,,,
s10,0.004141691219427796,0.6345143885741543,0.19431518308162746,0.16702873712479055,9.75,-17.623684159240614,,,
s10,0.005407512166814948,0.6758343014099187,0.16798709742549178,0.1507710889977744,7.5,-16.791384091620912,,,
s10,0.006101155203043243,0.6778283043736983,0.20070273367418867,0.11536780674906966,9.25,-17.143128886033733,,,
s10,0.006142059981723203,0.4381326134973466,0.17448631716393678,0.3812390093569933,7.5,-17.76848097643165,,,
s10,0.009106293942592915,0.6309769576439752,0.18778464813990833,0.17213210027352346,7.25,-17.572590076416926,,,
s10,0.008259215729933609,0.6913788144566148,0.15743847650421677,0.14292349330923476,7.25,-15.98228012664496,,,
s10,0.00736063289502281,0.655426096908703,0.188635570073272,0.14857770012300225,,-17.954445872667016,,,
s10,0.004990339052975605,0.6091922039679478,0.2292487555906466,0.15656870138842996,,-18.73813296377922,,,
s10,0.0063533813098049004,0.6815620548475516,0.15913093198513645,0.1529536318575069,,-14.379589541453845,,,
s10,0.007747958593288519,0.6536481829658781,0.1888586955321575,0.14974516290867593,,-18.12690537121611,,,
s10,0.007647760122429316,0.6805877858440903,0.1778338509747781,0.1339306030587023,7.25,-18.78491926937018,,,
s10,0.0039443443399837155,0.4445590861151797,0.19598333819899266,0.35551323134584395,7.25,-19.788851635818386,,,
s10,0.007131868799013202,0.6693219108967338,0.16859473454565724,0.1549514857585957,,-16.924770331568116,,,
s10,0.0044936560474662535,0.7279535827985625,0.14857086396112798,0.11898189719284329,,-17.036848291845008,,,
s10,0.0056215989802830746,0.6101604614154548,0.21012306683130347,0.17409487277295874,,-17.02459784517437,,,
s10,0.007547061458623057,0.6158163694410884,0.190772201408745,0.18586436769154352,,-16.407082456715973,,,
s10,0.0034671606841790606,0.5997853039877227,0.21286326032759695,0.18388427500050142,8.0,-17.90809606400533,,,
s10,0.007640717222283649,0.6624219368046409,0.15830766977578958,0.1716296761972858,7.25,-16.825242598395516,,,
s10,0.006860476959288346,0.6289888224569407,0.19718912211301504,0.16696157847075593,,-17.462641043595482,,,
s10,0.007216352264137689,0.7164607190697028,0.14117677360965947,0.13514615505650004,7.5,-17.853931259238625,,,
