SID,delta,theta,alpha,beta,alpha_peak,1/f_slope,spindles,slow_oscillations,CAP_index
s08,0.013601517271927795,0.8013099010074458,0.09383755925534729,0.09125102246527907,7.25,-15.230105541272358,,,
s08,0.021637659226300447,0.753968702560003,0.12607246256005192,0.09832117565364469,,-13.759512423393408,,,
s08,0.011250038158092794,0.6635713702571613,0.16799840118504944,0.15718019039969647,,-15.864015812437723,,,
s08,0.006940919931405803,0.7343506981473896,0.13032865839279908,0.12837972352840551,7.25,-17.031753244377178,,,
s08,0.020933936894892174,0.854628966163897,0.07490404326703873,0.0495330536741721,,-13.862575456650564,,,
s08,0.011200968566908203,0.7596891916586751,0.13479406528897192,0.09431577448544479,,-16.167454039334977,,,
s08,0.010382972664438552,0.7641259359408822,0.1383147008102334,0.08717639058444594,,-14.541559994401721,,,
s08,0.008774265708721881,0.8445617545306479,0.08683159684347035,0.05983238291715985,,-14.907084642729908,,,
s08,0.010742143356025847,0.7473534860241225,0.12810311871480914,0.11380125190504246,,-13.519427349841033,,,
s08,0.01302983343331271,0.7863885995708969,0.11513352674607323,0.08544804024971725,,-15.056872913415967,,,
s08,0.010897467097321843,0.716110229439136,0.14120045959851024,0.13179184386503195,,-14.792755150283046,,,
s08,0.00843750235269245,0.7762998696578391,0.13016663691880775,0.08509599107066067,,-15.402039241922958,,,
s08,0.012980057615258413,0.792500314409463,0.09726503084553098,0.09725459712974756,,-15.669032772482124,,,
s08,0.015929208048941677,0.7932601335549576,0.12316278725277564,0.06764787114332495,,-15.194253940717918,,,
s08,0.012051485235308454,0.809832725640851,0.11860293074723638,0.059512858376604263,,-13.958687616923593,,,
s08,0.01698960820230783,0.7287423476645214,0.11816489940931775,0.13610314472385296,,-13.943195080650412,,,
s08,0.01147543957367408,0.7119242383124819,0.14574711613304833,0.13085320598079578,,-14.456214027542291,,,
s08,0.016343281222466272,0.8021783752096941,0.10523521655545662,0.07624312701238303,7.25,-15.396103642081082,,,
s08,0.011471875828840999,0.7341054264226464,0.14828524564579426,0.10613745210271829,7.75,-15.794297461631732,,,
s08,0.013302573306688346,0.6995028547693983,0.12263859449049357,0.16455597743341968,,-16.497638413806506,,,
s08,0.012583940097296445,0.7953862700658106,0.10456631063746574,0.0874634791994272,,-13.23930355036945,,,
s08,0.008811433446356938,0.7710244065794479,0.1292770617933172,0.09088709818087791,,-16.079956042285694,,,
s08,0.014238830127544825,0.8224027259851779,0.0856616187019027,0.07769682518537457,7.25,-15.897991282796516,,,
s08,0.012197845524431457,0.7995594459935067,0.09783527330193331,0.09040743518012846,7.25,-14.901379802643271,,,
s08,0.013334463089025313,0.8416861880667975,0.09039366107300283,0.05458568777117438,,-14.689512306207181,,,
s08,0.006645963790984039,0.8282426822771889,0.09204796316765594,0.07306339076417111,,-15.978167797118886,,,
s08,0.009311472325385895,0.7495323838654426,0.11839852360757364,0.12275762020159789,,-14.359302627187843,,,
s08,0.018606613926164212,0.6770030498110918,0.10729519487001729,0.19709514139272666,,-15.926303018425726,,,
s08,0.010411104131430688,0.7959178236322553,0.09259934839015214,0.10107172384616174,,-14.159115020020794,,,
s08,0.015590242211449211,0.7722975848534254,0.11542669216841793,0.0966854807667075,,-15.917148180175557,,,
s08,0.01246707692559505,0.7868948885626553,0.11404042857230212,0.08659760593944751,,-17.1612446910145,,,
s08,0.008244442077160337,0.7369624167280308,0.12214126881150826,0.13265187238330056,,-16.91824588963257,,,
s08,0.015084192718644607,0.7883142317188615,0.1397415499654906,0.056860025597003414,,-14.677935063902309,,,
s08,0.009595537773084407,0.8188375134222099,0.0918031217666463,0.07976382703805945,,-15.455798382139957,,,
s08,0.019751147824701644,0.7362571809516159,0.09080810322972382,0.15318356799395869,,-16.28176586064696,,,
s08,0.011222887241419831,0.7629170606740074,0.08521640606260976,0.14064364602196297,7.25,-15.034017519674169,,,
s08,0.019821262001693294,0.7606195785932636,0.14831209531466263,0.07124706409038062,7.5,-14.660083787184602,,,
s08,0.017383708355425395,0.8431757351449981,0.0918995907862332,0.04754096571334319,,-15.042070515349211,,,
s08,0.013901788202217553,0.767099079881191,0.0816140154641331,0.13738511645245832,,-16.599268184090683,,,
s08,0.01193762871174272,0.8320115321133635,0.09565866206688046,0.06039217710801308,,-14.692950986051178,,,
